id,full_name,email,expertise
1,Daniel Moore,jeremy08@example.org,"{""Go""}"
2,Ryan Perez,williamskatherine@example.org,"{""Go"",""Computer Vision"",""NLP""}"
3,Brenda Flores,qavila@example.com,"{""Computer Vision""}"
4,Ralph Vasquez,cpierce@example.org,"{""Rust""}"
5,Christine Aguilar,baileychristopher@example.com,"{""Blockchain"",""Rust"",""Go""}"
6,Sandra Sanders,amandaherman@example.net,"{""UX Design"",""Blockchain"",""Data Engineering""}"
7,Deborah Brooks,mmoore@example.net,"{""NLP"",""Data Engineering"",""Blockchain""}"
8,Craig Hurst,swilson@example.com,"{""React""}"
9,Larry Curtis,hharris@example.org,"{""Computer Vision"",""Go""}"
10,Brian Fitzpatrick,jameshudson@example.net,"{""DevOps"",""UX Design""}"
11,Michael Lewis,michael03@example.net,"{""React""}"
12,Sarah Robinson,collinsjavier@example.org,"{""Go"",""HealthTech"",""Android""}"
13,Christine Arroyo,dcortez@example.com,"{""Blockchain"",""Android""}"
14,Carmen Vasquez,laura31@example.net,"{""UX Design"",""DevOps""}"
15,Aaron Johnson,vincentstacey@example.org,"{""Computer Vision""}"
16,James Carroll,coltonrichardson@example.net,"{""ML"",""Android""}"
17,Jay Walter,ramirezdesiree@example.com,"{""Finance"",""Computer Vision"",""Rust""}"
18,Stephanie Turner,stephen31@example.net,"{""ML"",""Rust"",""Python""}"
19,Melanie Johnson,hthompson@example.org,"{""Blockchain""}"
20,Jordan Tanner,joseph97@example.org,"{""Android"",""ML"",""Computer Vision""}"
