id,hackathon_id,full_name,email,skills,university,country,registered_at
1,2,Ariel Medina,david51@example.org,"{""React"",""HealthTech"",""Go"",""Finance""}",Mitchell-Kim University,Mayotte,2023-10-07 02:32:55.485826
2,3,Victoria Valdez,contrerasangela@example.net,"{""UX Design"",""iOS"",""Computer Vision"",""Python""}",Mcmillan and Sons University,Estonia,2023-04-14 11:06:31.113726
3,4,Juan Nelson,jenniferharris@example.net,"{""HealthTech"",""Go""}",Wagner-King University,United States of America,2023-10-27 09:11:40.824860
4,1,Jeff Hill,cookdavid@example.com,"{""Finance"",""DevOps"",""UX Design"",""Android""}",Figueroa PLC University,Romania,2023-06-30 19:56:04.493998
5,5,Benjamin Ware,amydavenport@example.net,"{""NLP"",""React"",""Python""}","Hernandez, Anderson and Parker University",United Arab Emirates,2022-03-29 23:49:24.123270
6,2,Amanda Howard,elizabethgomez@example.net,"{""React"",""Finance"",""Blockchain"",""HealthTech""}",Dickson-Brady University,Uzbekistan,2023-10-13 21:30:51.592678
7,4,Vanessa Cochran,vjohnson@example.com,"{""Rust"",""DevOps"",""Android"",""ML""}",Pham-Shields University,Sudan,2023-10-09 10:40:49.488976
8,3,Michael Reyes,garrisonjeffrey@example.com,"{""Blockchain"",""DevOps"",""iOS"",""NLP""}",Torres-Pope University,Denmark,2023-04-17 16:30:17.834358
9,1,Jennifer Ramirez,rasmussenjoshua@example.net,"{""Data Engineering"",""NLP"",""Blockchain""}","Ross, Zavala and Herrera University",Wallis and Futuna,2023-06-18 19:52:20.587030
10,2,Debbie Carpenter,benjamin96@example.com,"{""Go"",""iOS"",""DevOps"",""NLP"",""Data Engineering""}","Hartman, Graham and Joyce University",Brazil,2023-09-27 13:20:26.563230
11,2,Dawn Fletcher,meyerlindsay@example.net,"{""Finance"",""Computer Vision"",""HealthTech"",""Python""}","Bentley, Mclaughlin and Gonzalez University",Jersey,2023-09-18 02:22:52.118439
12,2,Erin Edwards,cortezkevin@example.com,"{""Computer Vision"",""Android""}","Ortiz, Powell and Phillips University",Brunei Darussalam,2023-09-21 18:07:29.521030
13,4,Jamie Adkins,christinaturner@example.net,"{""React"",""Blockchain"",""UX Design"",""NLP""}",Torres and Sons University,Jersey,2023-10-25 13:44:46.880822
14,3,Erica Ramos,williamleon@example.net,"{""DevOps"",""Rust"",""Go""}",Hopkins LLC University,Malaysia,2023-04-30 21:58:29.143703
